Type,Date,Part of a policing operation,Policing operation,Latitude,Longitude,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing
Person search,2020-07-13T14:01:00+00:00,FALSE,,51.576468,0.424823,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,FALSE,FALSE
Person search,2020-07-13T15:01:00+00:00,FALSE,,51.771138,0.092759,Male,Oct-17,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person search,2020-07-13T15:01:00+00:00,FALSE,,51.639003,0.414081,Male,Oct-17,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person search,2020-07-13T15:01:00+00:00,FALSE,,51.677243,0.002247,Male,25-34,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,TRUE,FALSE
Person search,2020-07-13T15:01:00+00:00,FALSE,,51.47415,0.319609,Male,Oct-17,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,Other,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest,TRUE,FALSE
Person search,2020-07-13T15:01:00+00:00,TRUE,,51.866001,0.908485,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person search,2020-07-13T16:01:00+00:00,TRUE,,51.921885,0.910745,Male,Oct-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,TRUE,FALSE
Vehicle search,2020-07-13T16:01:00+00:00,TRUE,,51.864054,0.907575,,,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,
Person search,2020-07-13T16:01:00+00:00,TRUE,,51.864054,0.907575,Male,25-34,White - Any other White background,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person search,2020-07-13T16:01:00+00:00,FALSE,,51.864054,0.907575,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person search,2020-07-13T16:01:00+00:00,TRUE,,51.866557,0.927377,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,TRUE,FALSE
Vehicle search,2020-07-13T16:01:00+00:00,TRUE,,51.864054,0.907575,,,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,
Person search,2020-07-13T16:01:00+00:00,TRUE,,51.864054,0.907575,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person search,2020-07-13T16:01:00+00:00,TRUE,,51.866557,0.927377,Female,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,TRUE,FALSE
Person search,2020-07-13T16:01:00+00:00,TRUE,,51.864054,0.907575,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person search,2020-07-13T16:01:00+00:00,TRUE,,51.864054,0.907575,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Vehicle search,2020-07-13T16:01:00+00:00,TRUE,,51.867543,0.926788,,,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,
Person search,2020-07-13T16:01:00+00:00,TRUE,,51.878295,0.92009,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,TRUE,FALSE
Person search,2020-07-13T16:01:00+00:00,TRUE,,51.782335,0.919962,Male,Oct-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person search,2020-07-13T16:01:00+00:00,FALSE,,51.875404,0.555627,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person and Vehicle search,2020-07-13T16:01:00+00:00,FALSE,,51.772529,0.468719,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,FALSE,FALSE
Person search,2020-07-13T17:01:00+00:00,FALSE,,51.736256,0.466784,Female,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,FALSE,FALSE
Person search,2020-07-13T17:01:00+00:00,TRUE,,51.921885,0.910745,Male,Oct-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,TRUE,FALSE
Person and Vehicle search,2020-07-13T17:01:00+00:00,TRUE,,51.565615,0.478516,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person search,2020-07-13T18:01:00+00:00,TRUE,,51.936357,1.26203,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person search,2020-07-13T18:01:00+00:00,FALSE,,51.749679,0.071614,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,TRUE,FALSE
Person and Vehicle search,2020-07-13T18:01:00+00:00,TRUE,,51.936357,1.26203,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person search,2020-07-13T18:01:00+00:00,FALSE,,51.749679,0.071614,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Vehicle search,2020-07-13T18:01:00+00:00,TRUE,,51.936357,1.26203,,,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,
Person search,2020-07-13T18:01:00+00:00,FALSE,,51.749679,0.071614,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person and Vehicle search,2020-07-13T18:01:00+00:00,TRUE,,51.474776,0.278958,Male,25-34,Black/African/Caribbean/Black British - African,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,TRUE,FALSE
Person search,2020-07-13T18:01:00+00:00,FALSE,,51.749679,0.071614,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person and Vehicle search,2020-07-13T19:01:00+00:00,FALSE,,51.508432,0.371315,Female,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person search,2020-07-13T19:01:00+00:00,TRUE,,51.873727,0.901167,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,TRUE
Person and Vehicle search,2020-07-13T19:01:00+00:00,TRUE,,51.551813,0.46347,Male,Oct-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,FALSE,FALSE
Person and Vehicle search,2020-07-13T19:01:00+00:00,TRUE,,51.551813,0.46347,Male,Oct-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,FALSE,FALSE
Person search,2020-07-13T19:01:00+00:00,TRUE,,51.873727,0.901167,Female,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person search,2020-07-13T19:01:00+00:00,TRUE,,51.936357,1.26203,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person search,2020-07-13T19:01:00+00:00,TRUE,,51.872893,0.901433,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,TRUE,FALSE
Person and Vehicle search,2020-07-13T19:01:00+00:00,TRUE,,51.551813,0.46347,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,,TRUE,FALSE
Vehicle search,2020-07-13T19:01:00+00:00,TRUE,,51.872893,0.901433,,,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,TRUE,
Person and Vehicle search,2020-07-13T19:01:00+00:00,TRUE,,51.51631,0.417114,Female,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,TRUE,FALSE
Person and Vehicle search,2020-07-13T19:01:00+00:00,TRUE,,51.551813,0.46347,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,FALSE,FALSE
Person search,2020-07-13T19:01:00+00:00,FALSE,,51.749679,0.071614,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person search,2020-07-13T19:01:00+00:00,FALSE,,51.683723,-0.003861,,,,,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,FALSE,
Person search,2020-07-13T19:01:00+00:00,FALSE,,51.749679,0.071614,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person search,2020-07-13T19:01:00+00:00,FALSE,,51.884681,0.899707,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person search,2020-07-13T20:01:00+00:00,FALSE,,51.745598,0.091332,Female,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person search,2020-07-13T20:01:00+00:00,FALSE,,51.745598,0.091332,Female,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person and Vehicle search,2020-07-13T20:01:00+00:00,FALSE,,51.745598,0.091332,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person and Vehicle search,2020-07-13T20:01:00+00:00,FALSE,,,,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,TRUE,FALSE
Person and Vehicle search,2020-07-13T20:01:00+00:00,TRUE,,51.522214,0.290552,Male,25-34,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,TRUE,FALSE
Person and Vehicle search,2020-07-13T20:01:00+00:00,TRUE,,51.522214,0.290552,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,TRUE,FALSE
Person search,2020-07-13T22:01:00+00:00,FALSE,,51.682581,0.029158,Female,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,TRUE,FALSE
Person and Vehicle search,2020-07-13T23:01:00+00:00,TRUE,,51.609036,0.26485,Male,over 34,Asian/Asian British - Any other Asian background,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Vehicle search,2020-07-13T23:01:00+00:00,FALSE,,51.637197,0.054922,,,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,
Person search,2020-07-13T23:01:00+00:00,FALSE,,51.571067,0.512236,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest,TRUE,FALSE
Person and Vehicle search,2020-07-13T23:01:00+00:00,FALSE,,51.637197,0.054922,Female,Oct-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,TRUE,FALSE
Person search,2020-07-13T23:01:00+00:00,FALSE,,51.570355,0.509816,Female,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest,TRUE,FALSE
Person and Vehicle search,2020-07-13T23:01:00+00:00,FALSE,,51.779655,0.13028,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person search,2020-07-13T23:01:00+00:00,FALSE,,51.560113,0.668614,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Community resolution,TRUE,FALSE
Person search,2020-07-14T00:01:00+00:00,FALSE,,51.793821,1.147044,Male,over 34,Asian/Asian British - Any other Asian background,Asian,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,FALSE,FALSE
Person search,2020-07-14T01:01:00+00:00,FALSE,,51.538813,0.715393,Male,Oct-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Arrest,TRUE,FALSE
Person search,2020-07-14T08:01:00+00:00,FALSE,,51.566369,0.64175,Male,25-34,Other ethnic group - Not stated,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person and Vehicle search,2020-07-14T09:01:00+00:00,TRUE,,51.901727,0.937268,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,TRUE,FALSE
Person search,2020-07-14T10:01:00+00:00,TRUE,,51.890498,0.905634,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person search,2020-07-14T10:01:00+00:00,TRUE,,51.890498,0.905634,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person and Vehicle search,2020-07-14T11:01:00+00:00,FALSE,,,,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,FALSE,FALSE
Person and Vehicle search,2020-07-14T11:01:00+00:00,FALSE,,51.794444,1.136862,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person and Vehicle search,2020-07-14T11:01:00+00:00,TRUE,,51.794444,1.136862,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person search,2020-07-14T11:01:00+00:00,FALSE,,51.887227,0.897124,Male,Oct-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,TRUE,FALSE
Person and Vehicle search,2020-07-14T11:01:00+00:00,FALSE,,51.794444,1.136862,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person search,2020-07-14T12:01:00+00:00,FALSE,,51.723333,0.679001,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,TRUE,FALSE
Person search,2020-07-14T12:01:00+00:00,FALSE,,51.637197,0.054922,Male,Oct-17,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person search,2020-07-14T12:01:00+00:00,FALSE,,51.637197,0.054922,Male,18-24,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person search,2020-07-14T12:01:00+00:00,FALSE,,51.876931,0.932614,,,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,
Person search,2020-07-14T12:01:00+00:00,FALSE,,51.876931,0.932614,,,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,
Vehicle search,2020-07-14T12:01:00+00:00,FALSE,,51.637197,0.054922,,,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,
Person search,2020-07-14T13:01:00+00:00,FALSE,,51.570458,0.456512,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest,FALSE,FALSE
Person and Vehicle search,2020-07-14T13:01:00+00:00,FALSE,,51.477077,0.275789,Female,18-24,Other ethnic group - Not stated,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person and Vehicle search,2020-07-14T13:01:00+00:00,FALSE,,51.477077,0.275789,Male,18-24,Other ethnic group - Not stated,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person search,2020-07-14T13:01:00+00:00,FALSE,,51.888779,0.938604,Male,Oct-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person search,2020-07-14T13:01:00+00:00,FALSE,,51.888779,0.938604,Male,Oct-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person search,2020-07-14T14:01:00+00:00,TRUE,,51.887717,0.900615,Male,Oct-17,Other ethnic group - Not stated,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person search,2020-07-14T14:01:00+00:00,FALSE,,51.894888,0.933115,Male,18-24,Asian/Asian British - Any other Asian background,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person search,2020-07-14T14:01:00+00:00,TRUE,,51.889081,0.897825,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person search,2020-07-14T14:01:00+00:00,TRUE,,51.887717,0.900615,Female,Oct-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person search,2020-07-14T14:01:00+00:00,TRUE,,51.887717,0.900615,Male,Oct-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person search,2020-07-14T14:01:00+00:00,FALSE,,51.897013,0.926523,Male,Oct-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,FALSE,FALSE
Vehicle search,2020-07-14T15:01:00+00:00,FALSE,,51.935109,1.28071,,,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,TRUE,
Person search,2020-07-14T15:01:00+00:00,TRUE,,51.89593,0.92811,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person search,2020-07-14T15:01:00+00:00,FALSE,,51.751221,0.074959,Male,Oct-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,FALSE,FALSE
Person search,2020-07-14T15:01:00+00:00,FALSE,,51.751221,0.074959,Male,Oct-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person search,2020-07-14T15:01:00+00:00,FALSE,,51.579754,0.414201,Male,Oct-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person search,2020-07-14T15:01:00+00:00,FALSE,,51.579754,0.414201,Male,Oct-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person search,2020-07-14T15:01:00+00:00,FALSE,,51.857017,0.564141,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person search,2020-07-14T15:01:00+00:00,FALSE,,51.579754,0.414201,Female,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person search,2020-07-14T15:01:00+00:00,FALSE,,51.579754,0.414201,Male,18-24,Black/African/Caribbean/Black British - Caribbean,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person search,2020-07-14T15:01:00+00:00,FALSE,,51.643628,0.053305,Female,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,TRUE,FALSE
Person and Vehicle search,2020-07-14T15:01:00+00:00,FALSE,,51.857017,0.564141,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person and Vehicle search,2020-07-14T15:01:00+00:00,FALSE,,51.935109,1.28071,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,TRUE,FALSE
Person search,2020-07-14T15:01:00+00:00,TRUE,,51.936503,1.28007,Male,Oct-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person search,2020-07-14T16:01:00+00:00,FALSE,,51.645552,0.082951,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Community resolution,TRUE,FALSE
Person and Vehicle search,2020-07-14T16:01:00+00:00,FALSE,,51.747797,0.096141,Male,18-24,Other ethnic group - Not stated,Other,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person search,2020-07-14T16:01:00+00:00,FALSE,,51.553889,0.672607,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Evidence of offences under the Act,Arrest,FALSE,FALSE
Person search,2020-07-14T16:01:00+00:00,FALSE,,51.72982,0.471763,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person search,2020-07-14T16:01:00+00:00,FALSE,,51.645552,0.082951,Male,25-34,White - Any other White background,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Caution (simple or conditional),TRUE,FALSE
Person and Vehicle search,2020-07-14T16:01:00+00:00,FALSE,,51.598868,0.575173,Male,over 34,White - Any other White background,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,FALSE,FALSE
Person search,2020-07-14T17:01:00+00:00,TRUE,,51.89928,0.941281,,,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,
Person search,2020-07-14T17:01:00+00:00,TRUE,,51.893455,0.918776,Female,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person search,2020-07-14T17:01:00+00:00,FALSE,,51.893455,0.918776,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person search,2020-07-14T17:01:00+00:00,FALSE,,51.89593,0.92811,Male,Oct-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person search,2020-07-14T17:01:00+00:00,FALSE,,51.89593,0.92811,Male,18-24,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person search,2020-07-14T17:01:00+00:00,FALSE,,51.89593,0.92811,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person search,2020-07-14T17:01:00+00:00,FALSE,,51.89593,0.92811,,,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,
Person search,2020-07-14T17:01:00+00:00,TRUE,,51.89593,0.92811,Male,18-24,Asian/Asian British - Any other Asian background,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,TRUE
Person search,2020-07-14T17:01:00+00:00,TRUE,,51.89928,0.941281,,,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,
Person search,2020-07-14T17:01:00+00:00,TRUE,,51.89928,0.941281,,,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,
Person search,2020-07-14T17:01:00+00:00,TRUE,,51.89928,0.941281,,,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,
Person search,2020-07-14T17:01:00+00:00,TRUE,,51.89928,0.941281,Male,,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person search,2020-07-14T17:01:00+00:00,TRUE,,51.89928,0.941281,Male,18-24,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person search,2020-07-14T17:01:00+00:00,TRUE,,51.89928,0.941281,Male,18-24,Black/African/Caribbean/Black British - African,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person search,2020-07-14T18:01:00+00:00,TRUE,,51.883999,0.912379,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,TRUE,FALSE
Person search,2020-07-14T18:01:00+00:00,FALSE,,51.895882,0.93004,Male,25-34,White - Irish,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
